,시설명,시도명,시군구명,소재지도로명주소,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호
992,남양 보훈회관,경기도,화성시,경기도 화성시 남양읍 남양시장로 51,보훈회관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,남양 보훈회관,031-355-4370
993,화성시아르딤복지관,경기도,화성시,경기도 화성시 향남읍 도이1길 104,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,화성시아르딤복지관,031-5183-8911
994,병점역,경기도,화성시,경기도 화성시 떡전골로 97,역사 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,병점역,031-274-7788
995,동탄역,경기도,화성시,경기도 화성시 오산동 92-2,역사 입구,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,Y,동탄역,031-328-9502
996,화성시동탄아르딤복지관,경기도,화성시,경기도 화성시 동탄대로10길 17-12,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,화성시동탄아르딤복지관,031-8077-0851
997,화산동근로자복지회관,경기도,화성시,경기도 화성시 화산중앙로 16-1,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,화산동근로자복지회관,031-225-3555
998,화성시서부종합사회복지관,경기도,화성시,경기도 화성시 송산면 사강로 145,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,화성시서부종합사회복지관,031-366-7390
999,향남남부노인복지관,경기도,화성시,경기도 화성시 향남읍 토성로 37-22,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,향남남부노인복지관,031-366-5678
1000,향남남부종합복지관,경기도,화성시,경기도 화성시 향남읍 행정서로3길 50,복지관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,향남남부종합복지관,031-366-0888
1001,홍천군청,강원도,홍천군,강원도 홍천군 홍천읍 석화로 93,홍천군청(1층 무인민원발급창구 내),00:00,23:59,00:00,23:59,00:00,23:59,0,Y,N,강원도 홍천군청,033-432-7801
1002,홍천읍행정복지센터,강원도,홍천군,강원도 홍천군 홍천읍 홍천로 351,홍천읍행정복지센터(1층 무인민원발급창구 내),00:00,23:59,00:00,23:59,00:00,23:59,0,Y,N,강원도 홍천군 홍천읍행정복지센터,033-434-3002
1003,화촌면행정복지센터,강원도,홍천군,강원도 홍천군 화촌면 성산로 143,화촌면행정복지센터(1층 무인민원발급창구 내),00:00,23:59,00:00,23:59,00:00,23:59,0,Y,N,강원도 홍천군 화촌면행정복지센터,033-430-4522
1004,두촌면행정복지센터,강원도,홍천군,강원도 홍천군 두촌면 자은로 349,두촌면행정복지센터(1층 측면 입구),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 두촌면행정복지센터,033-435-3327
1005,내촌면행정복지센터,강원도,홍천군,강원도 홍천군 내촌면 내촌길 27,내촌면행정복지센터(1층 무인민원발급창구 내),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 내촌면행정복지센터,033-430-4542
1006,서석면행정복지센터,강원도,홍천군,강원도 홍천군 서석면 풍암길 10,서석면행정복지센터(1층 무인민원발급창구 내),00:00,23:59,00:00,23:59,00:00,23:59,0,Y,N,강원도 홍천군 서석면행정복지센터,033-430-4552
1007,영귀미면행정복지센터,강원도,홍천군,강원도 홍천군 동면 공작산로 497,영귀미면행정복지센터(1층 자동문 옆),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 영귀미면행정복지센터,033-436-6031
1008,충주시장애인복지관,충청북도,충주시,충청북도 충주시 호암대로 129,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1009,충주시청 민원봉사실,충청북도,충주시,충청북도 충주시 으뜸로 21,1층 민원동 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1010,교현안림동 행정복지센터,충청북도,충주시,충청북도 충주시 금봉대로 410,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1011,문화동 행정복지센터,충청북도,충주시,충청북도 충주시 사직산6길 46,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1012,칠금금릉동 행정복지센터,충청북도,충주시,충청북도 충주시 칠금중앙로 37,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1013,연수동 행정복지센터,충청북도,충주시,충청북도 충주시 예성로 344,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1014,동량면 행정복지센터,충청북도,충주시,충청북도 충주시 동량면 조돈안길 1,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1015,성내충인동 행정복지센터,충청북도,충주시,충청북도 충주시 충인6길 46,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1016,지현동 행정복지센터,충청북도,충주시,충청북도 충주시 지현천변1길 41,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1017,중앙탑면 행정복지센터,충청북도,충주시,충청북도 충주시 중앙탑면 중앙탑길 207,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1018,충주장애인자립생활센터,충청북도,충주시,충청북도 충주시 봉방3길 28(봉방동),1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1019,충주장애인형국민체육센터,충청북도,충주시,충청북도 충주시 모시레길 105(호암동),1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1020,충주종합사회복지관,충청북도,충주시,충청북도 충주시 주공길 7,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1021,양산시청,경상남도,양산시,경상남도 양산시 중앙로 39,시청 민원실 내,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,경상남도 양산시청 민원지적과,055-392-2392
1022,양산시장애인복지관,경상남도,양산시,경상남도 양산시 북안남5길 15,정문입구 왼편 경사로,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,양산시장애인복지관(2층사무실),055-367-9655
1023,종합운동장,경상남도,양산시,경상남도 양산시 양산대로 849,주경기장 로비,05:00,22:00,05:00,22:00,05:00,22:00,2,N,Y,양산시시설관리공단 종합운동장팀,055-379-8533
1024,진주시청(1층 민원실 입구),경상남도,진주시,경상남도 진주시 동진로 155(상대동),1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1025,진주시종합사회복지관(1층),경상남도,진주시,경상남도 진주시 진양호로 476(남성동),1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1026,장애인단체사무실,경상남도,진주시,경상남도 진주시 남강로 736번길 6-3 (옥봉동),1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1027,진주시장애인종합복지관(1층),경상남도,진주시,경상남도 진주시 동진로 273(상대동),1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1028,진주평거종합사회복지관,경상남도,진주시,경상남도 진주시 진양호로 125번길 4-1(평거동),1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1029,가좌사회복지관,경상남도,진주시,경상남도 진주시 가호로 26(가호동),1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1030,문산읍사무소,경상남도,진주시,경상남도 진주시 문산읍 동부로 587번길 12,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1031,금산면사무소,경상남도,진주시,경상남도 진주시 금산면 금산로 107,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1032,일반성면사무소,경상남도,진주시,경상남도 진주시 일반성면 동부로 1959번길 2,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 진주시청,055-749-8525
1033,남면행정복지센터,강원도,홍천군,강원도 홍천군 남면 양덕원로 97,남면행정복지센터(1층 입구 우측),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 남면행정복지센터,033-430-4472
1034,서면행정복지센터,강원도,홍천군,강원도 홍천군 서면 팔봉산로 617,서면행정복지센터(1층 입구 우측),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 서면행정복지센터,033-434-0454
1035,북방면행정복지센터,강원도,홍천군,강원도 홍천군 북방면 영서로 2698,북방면행정복지센터(1층 입구 안쪽),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 북방면행정복지센터,033-430-4592
1036,내면행정복지센터,강원도,홍천군,강원도 홍천군 내면 창촌로 59,내면행정복지센터(1층 입구 우측),00:00,23:59,00:00,23:59,00:00,23:59,0,Y,N,강원도 홍천군 내면행정복지센터,033-432-6003
1037,홍천군장애인복지관,강원도,홍천군,강원도 홍천군 홍천읍 태학여내길 80-7,홍천군장애인복지관(1층 로비),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 홍천군장애인복지관,033-435-7031
1038,장애인종합상담실,강원도,홍천군,강원도 홍천군 홍천읍 너브내길 127,장애인종합상담실(1층 현관),09:00,18:00,00:00,00:00,00:00,00:00,0,Y,N,강원도 홍천군 장애인종합상담실,033-432-9667
1039,경기도 이천시청,경기도,이천시,경기도 이천시 부악로 40 (중리동),1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,이천시장애인보장구수리센터,031-633-8850
1040,(사)한국지체장애인협회 이천시지회,경기도,이천시,"경기도 이천시 서희로 11, B동 2층(중리동)",2층 사무실 앞,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,이천시장애인보장구수리센터,031-633-8850
1041,이천시장애인자립생활센터,경기도,이천시,"경기도 이천시 설봉로 7, 학산빌딩 4층(관고동)",4층 복도,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,이천시장애인자립생활센터,031-631-7874
1042,이천시장애인복지관,경기도,이천시,,1층 현관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,이천시장애인복지관,031-637-6720
1043,이천시이삭장애인자립생활센터,경기도,이천시,"경기도 이천시 중리천로 136, 4층",4층 사무실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,이천시이삭장애인자립생활센터,031-694-9050
1044,중리동행정복지센터,경기도,이천시,경기도 이천시 남천로 31(중리동),노인복지관쪽 출입로 입구,08:00,20:00,00:00,00:00,00:00,00:00,2,Y,Y,이천시장애인보장구수리센터,031-633-8850
1045,창전동행정복지센터,경기도,이천시,경기도 이천시 영창로163번길22(창전동),입구 오른편,08:00,20:00,00:00,00:00,00:00,00:00,2,N,Y,이천시장애인보장구수리센터,031-633-8850
1046,이천시장애인복지관(남부센터),경기도,이천시,경기도 이천시 장호원읍 장감로 28,1층 현관 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,이천시장애인복지관(남부),031-8011-2018
1047,설봉공원 안내소,경기도,이천시,경기도 이천시 경충대로2709번길128,종합관광안내소 내부,08:00,20:00,00:00,00:00,00:00,00:00,2,Y,Y,이천시장애인연합회,031-635-1119
1048,경강선 이천역,경기도,이천시,경기도 이천시 이섭대천로 1063(중리동),이천역내,05:00,23:00,00:00,00:00,00:00,00:00,2,N,Y,경강선 이천역,1544-7788
1049,부여군청,충청남도,부여군,충청남도 부여군 부여읍 사비로 33,신관 1층,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,N,충청남도 부여군청,041-830-2097
1050,부여군보건소,충청남도,부여군,충청남도 부여군 부여읍 성왕로 205,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,충청남도 부여군청,041-830-8600
1051,부여읍행정복지센터,충청남도,부여군,충청남도 부여군 부여읍 사비로 36,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6318
1052,규암면행정복지센터,충청남도,부여군,충청남도 부여군 규암면 계백로 39,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6357
1053,은산면행정복지센터,충청남도,부여군,충청남도 부여군 은산면 충의로 690,1층 제2출입구 경사로 끝,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,충청남도 부여군청,041-830-6401
1054,옥련2동행정복지센터,인천광역시,연수구,인천광역시 연수구 옥련로 82,옥련2동행정복지센터 청사 1층 후문 입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 옥련2동 행정복지센터,032-749-6050
1055,연수1동행정복지센터,인천광역시,연수구,인천광역시 연수구 함박뫼로 127,연수1동행정복지센터1층 민원실 출입문 앞,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 연수1동 행정복지센터,032-749-6150
1056,동춘1동행정복지센터,인천광역시,연수구,인천광역시 연수구 먼우금로 117,동춘1동행정복지센터 정문 출입 후 우측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 동춘1동 행정복지센터,032-749-6350
1057,송도1동행정복지센터,인천광역시,연수구,인천광역시 연수구 하모니로35번길 8,송도1동행정복지센터 청사 내 복도 좌측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 송도1동 행정복지센터,032-749-6500
1058,송도2동행정복지센터,인천광역시,연수구,인천광역시 연수구 신송로 248,송도2동행정복지센터 1층 정문 현관 우측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 송도2동 행정복지센터,032-749-6550
1059,송도3동행정복지센터,인천광역시,연수구,인천광역시 연수구 송도교육로 63,송도3동행정복지센터 정문 출입 후 우측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 송도3동 행정복지센터,032-749-6780
1060,인천지하철1호선 문학경기장역,인천광역시,연수구,인천광역시 연수구 예술로 2,인천지하철1호선 문학경기장역 지하1층 대합실,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 문학경기장역,032-441-3127
1061,인천지하철1호선 동막역,인천광역시,연수구,인천광역시 연수구 경원대로 80,인천지하철1호선 동막역 대합실(화장실 근처),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 동막역,032-816-5584
1062,인천지하철1호선 캠퍼스타운역,인천광역시,연수구,인천광역시 연수구 송도국제대로 66,인천지하철1호선 캠퍼스타운역 대합실(화장실 근처),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 캠퍼스타운역,032-451-3183
1063,인천지하철1호선 테크노파크역,인천광역시,연수구,인천광역시 연수구 송도국제대로 150,인천지하철1호선 테크노파크역 대합실(외부화장실 앞),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 테크노파크역,032-451-3184
1064,인천지하철1호선 지식정보단지역,인천광역시,연수구,인천광역시 연수구 인천타워대로 57,인천지하철1호선 지식정보단지역 대합실(엘리베이터 맞은편),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 지식정보단지역,032-451-3185
1065,인천지하철1호선 인천대입구역,인천광역시,연수구,인천광역시 연수구 인천타워대로 155,인천지하철1호선 인천대입구역 대합실(3번 출구 방향),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 인천대입구역,032-451-3186
1066,인천지하철1호선 센트럴파크역,인천광역시,연수구,인천광역시 연수구 인천타워대로 240,인천지하철1호선 센트럴파크역 지하1층 대합실,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 센트럴파크역,032-451-3187
1067,인천지하철1호선 국제업무지구역,인천광역시,연수구,인천광역시 연수구 인천타워대로 334,인천지하철1호선 국제업무지구역 대합실 발매기 옆,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 국제업무지구역,032-451-3188
1068,인천지하철1호선 송도달빛축제공원역,인천광역시,연수구,인천광역시 연수구 인천타워대로 424,인천지하철1호선 송도달빛축제공원역 대합실(화장실 근처),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천지하철1호선 송도달빛축제공원역,032-451-3189
1069,인천장애인종합복지관체육관,인천광역시,연수구,인천광역시 연수구 앵고개로 130,인천장애인종합복지관체육관 내,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천장애인종합복지관,032-833-3051
1070,동춘2동 행정복지센터,인천광역시,연수구,인천광역시 연수구 먼우금로 41 동춘2동주민센터,동춘2동 행정복지센터 정문 출입 후 왼쪽 공간,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 동춘2동 행정복지센터,032-749-6400
1071,송도4동 행정복지센터,인천광역시,연수구,인천광역시 연수구 컨벤시아대로252번길 79,송도4동 행정복지센터 정문 입구 앞 복도,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 송도4동 행정복지센터,032-749-6864
1072,송도5동 행정복지센터,인천광역시,연수구,인천광역시 연수구 인천타워대로 501,송도5동 행정복지센터 정문 출입 후 우측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 송도5동 행정복지센터,032-749-6980
1073,연수주공1차 아파트 관리사무소,인천광역시,연수구,인천광역시 연수구 원인재로 315,연수주공1차 아파트 관리사무소 옆,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,연수주공1단지 관리사무소,032-811-0437
1074,장애인보장구 수리센터,인천광역시,연수구,,장애인보장구 수리센터,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천 지체장애인협회 연수구지회,032-811-0403
1075,아우름장애인자립생활센터,강원도,속초시,강원도 속초시 원암학사평길 62(노학동),센터 내 출입구 왼쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,아우름장애인자립생활센터,033-635-4456
1076,포항KTX역사,경상북도,포항시,경상북도 포항시 북구 흥해읍 포항역로1,"열차 타는곳 입구 우측편, 화장실옆",00:00,23:59,00:00,23:59,00:00,23:59,4,N,N,경상북도 포항시청,054-270-2973
1077,수유역,서울특별시,강북구,서울특별시 강북구 도봉로 338길,8번출구 나가기전 상가옆 벽면,06:00,23:00,06:00,23:00,00:00,23:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1078,미아사거리역,서울특별시,강북구,서울특별시 강북구 도봉로 50길,1번출구와 6번출구 사이,06:00,23:00,06:00,23:00,00:00,23:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1079,강북경찰서,서울특별시,강북구,서울특별시 강북구 오패산로 406,경찰서 정문 왼쪽 신한은행ATM 옆,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,서울특별시 강북구청,02-901-6677
1080,수유제1동 주민센터,서울특별시,강북구,서울특별시 강북구 삼양로 299,1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1081,강북문화예술회관,서울특별시,강북구,서울특별시 강북구 삼각산로 85,1층 입구,06:00,22:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1082,북서울꿈의숲(아트센터),서울특별시,강북구,서울특별시 강북구 월계로 173,지하1층 로비,10:00,17:00,00:00,00:00,00:00,00:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1083,가오리역,서울특별시,강북구,서울특별시 강북구 삼양로 107길,B1층 상선 승강장 엘리베이터 3호기 앞,06:00,23:00,06:00,23:00,00:00,23:00,2,Y,Y,서울특별시 강북구청,02-901-6677
1084,솔밭근린공원,서울특별시,강북구,서울특별시 강북구 삼양로 561,관리소 안심택배함 옆,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,서울특별시 강북구청,02-901-6677
1085,충청북도장애인종합복지관,충청북도,충주시,충청북도 충주시 도장관주로 34-17,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821
1086,지체장애인협회,강원도,속초시,강원도 속초시 원암학사평길 74(노학동),협회 출입문 안쪽 오른편,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,지체장애인협회,033-635-4133
1087,강원도 정선군 여량면 행정복지센터,강원도,정선군,강원도 정선군 여량면 서동로 2885,관공소 입구 오른쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강원도 정선군 여량면 행정복지센터,033-560-2668
1088,강원도 정선군 북평면 행정복지센터,강원도,정선군,강원도 정선군 북평면 북평6길 36,관공소 입구 오른쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강원도 정선군 북평면 행정복지센터,033-560-2678
1089,강원도 정선군 임계면 행정복지센터,강원도,정선군,강원도 정선군 임계면 서동로 4575,관공소 입구 왼쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,강원도 정선군 임계면 행정복지센터,033-560-2687
1090,사)한국지체장애인협회 정선군 지회,강원도,정선군,강원도 정선군 정선읍 녹송2길 50,지체장애인협회 입구 오른쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,사)한국지체장애인협회 정선군 지회,033-563-2400
1091,옥포2동 행정복지센터,경상남도,거제시,경상남도 거제시 옥포로25길 20,행정복지센터 내,09:00,18:00,00:00,00:00,00:00,00:00,1,N,Y,경상남도 거제시청,055-639-3824
1092,아주동 주민센터,경상남도,거제시,경상남도 거제시 탑곡로 75,주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1093,거제시보건소,경상남도,거제시,경상남도 거제시 수양로 506,보건소 1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1094,장평동 주민센터,경상남도,거제시,경상남도 거제시 장평3로 10,주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1095,상문동 주민센터,경상남도,거제시,경상남도 거제시 거제중앙로 1641,주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1096,수양동 주민센터,경상남도,거제시,경상남도 거제시 제산로5길 26,주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1097,장승포동 주민센터,경상남도,거제시,경상남도 거제시 장승로 146-25,주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,경상남도 거제시청,055-639-3824
1098,연수구청,인천광역시,연수구,인천광역시 연수구 원인재로 115,연수구청 동문 출입구,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,인천광역시 연수구청,032-749-7703
1099,동춘역,인천광역시,연수구,인천광역시 연수구 경원대로 지하 180,동춘역(인천1호선) 대합실 중앙,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,동춘역,032-814-5702
1100,선학동 행정복지센터,인천광역시,연수구,인천광역시 연수구 선학로 54,선학동 행정복지센터 정문 중간문 사이 설치,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 선학동 행정복지센터,032-749-6100
1101,청학동 행정복지센터,인천광역시,연수구,인천광역시 연수구 비류대로294번길 26,청학동 행정복지센터 정문입구 우측,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 청학동 행정복지센터,032-749-6300
1102,연수2동 행정복지센터,인천광역시,연수구,인천광역시 연수구 원인재로 158,연수2동 행정복지센터 창고(수리예정),09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 연수2동 행정복지센터,032-749-6200
1103,연수3동 행정복지센터,인천광역시,연수구,인천광역시 연수구 원인재로 283,연수3동 행정복지센터 정문 입구 민원대 맞은편,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 연수3동 행정복지센터,032-749-6250
1104,선학역,인천광역시,연수구,인천광역시 연수구 경원대로 지하 480,선학역 대합실,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,선학역,032-821-3128
1105,신연수역,인천광역시,연수구,인천광역시 연수구 경원대로 지하 368,신연수역 대합실(1번 출구 방향),00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,신연수역,032-813-3129
1106,원인재역,인천광역시,연수구,인천광역시 연수구 경원대로 지하 285,원인재역 역무사업소 앞,00:00,23:59,00:00,23:59,00:00,23:59,1,N,N,원인재역,032-816-3130
1107,옥련1동행정복지센터,인천광역시,연수구,인천광역시 연수구 비류대로186번길 14,옥련1동행정복지센터 정문 입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,인천광역시 연수구 옥련1동 행정복지센터,032-749-6000
1108,대전광역시청,대전광역시,서구,"대전광역시 서구 둔산로 100, (둔산동)",대전광역시청,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,대전광역시청,042-270-4782
1109,(사)모두사랑,대전광역시,서구,"대전광역시 서구 갈마중로 21, 구서구의회 (갈마동)",(사)모두사랑,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,(사)모두사랑,042-521-9933
1110,서구장애인자립생활센터,대전광역시,서구,"대전광역시 서구 도안동로11번길 42, 지산프라자 502호 (가수원동)",서구장애인자립생활센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,서구장애인자립생활센터,042-543-8372
1111,한밭장애인자립생활센터,대전광역시,서구,"대전광역시 서구 둔산로31번길 66, 다송빌딩 204호 (둔산동)",한밭장애인자립생활센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,한밭장애인자립생활센터,042-486-2373
1112,(사)대전여성장애인연대,대전광역시,서구,"대전광역시 서구 월평서로 9, 월평빌딩 3층 (월평동)",(사)대전여성장애인연대,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,(사)대전여성장애인연대,042-528-1542
1113,관저2동 행정복지센터,대전광역시,서구,"대전광역시 서구 관저중로 82, 관저동 (관저동)",관저2동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,관저2동 행정복지센터,042-288-5630
1114,기성동 행정복지센터,대전광역시,서구,"대전광역시 서구 흑석1길 16, 흑석동 (흑석동)",기성동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,기성동 행정복지센터,042-288-5660
1115,내동 행정복지센터,대전광역시,서구,"대전광역시 서구 도솔로 247, 내동 (내동)",내동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,내동 행정복지센터,042-288-5373
1116,둔산3동 행정복지센터,대전광역시,서구,"대전광역시 서구 둔산북로 232-52, 둔산동 (둔산동)",둔산3동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,둔산3동 행정복지센터,042-288-5270
1117,월평2동 행정복지센터,대전광역시,서구,"대전광역시 서구 갈마역로 145, 월평동 (월평동)",월평2동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,월평2동 행정복지센터,042-288-5494
1118,월평3동 행정복지센터,대전광역시,서구,"대전광역시 서구 청사로 27-9, 월평동 (월평동)",월평3동 행정복지센터,09:00,18:00,00:00,00:00,00:00,00:00,2,N,Y,월평3동 행정복지센터,042-288-5510
